,Checked,Name,Formula,Annotation Source: Predicted Compositions,FISh Coverage,Molecular Weight,RT [min],Area (Max.),# Usable QC,RSD QC Areas [%],RSD Corr. QC Areas [%],MS2,Area: A8_arabica_Colombia_A.raw (F22),Area: A8_arabica_Colombia_B.raw (F23),Area: A8_arabica_Colombia_C.raw (F24),Area: A43__arabica_Ethiopia_B.raw (F127),Area: A43__arabica_Ethiopia_C.raw (F128),Area: A43_arabica_Ethiopia_A.raw (F129),Area: A44_arabica_Ethiopia_A.raw (F130),Area: A44_arabica_Ethiopia_B.raw (F131),Area: A44_arabica_Ethiopia_C.raw (F132),Area: A45__arabica_Ethiopia_C.raw (F133),Area: A45_arabica_Ethiopia_A.raw (F134),Area: A45_arabica_Ethiopia_B.raw (F135),Area: A46_arabica_Ethiopia_A.raw (F136),Area: A46_arabica_Ethiopia_B.raw (F137),Area: A46_arabica_Ethiopia_C.raw (F138),Area: A50_arabica_Ethiopia_A.raw (F148),Area: A50_arabica_Ethiopia_B.raw (F149),Area: A50_arabica_Ethiopia_C.raw (F150),Area: A52__arabica_Indonesia_A.raw (F154),Area: A52_arabica_Indonesia_B.raw (F155),Area: A52_arabica_Indonesia_C.raw (F156),Area: A53_arabica_Colombia_A.raw (F157),Area: A53_arabica_Colombia_B.raw (F158),Area: A53_arabica_Colombia_C.raw (F159),Area: A54_arabica_Rwanda_A.raw (F160),Area: A54_arabica_Rwanda_B.raw (F161),Area: A54_arabica_Rwanda_C.raw (F162),Area: A55_arabica_ElSalvador_A.raw (F163),Area: A55_arabica_ElSalvador_B.raw (F164),Area: A55_arabica_ElSalvador_C.raw (F165),Area: A70_arabica_Brazil_A.raw (F208),Area: A70_arabica_Brazil_B.raw (F209),Area: A70_arabica_Brazil_C.raw (F210),Area: A40_canephora_Vietnam_A.raw (F118),Area: A40_canephora_Vietnam_B.raw (F119),Area: A40_canephora_Vietnam_C.raw (F120),Area: A41_canephora_Brazil_A.raw (F121),Area: A41_canephora_Brazil_B.raw (F122),Area: A41_canephora_Brazil_C.raw (F123),Area: A42_canephora_Indonesia_A.raw (F124),Area: A42_canephora_Indonesia_B.raw (F125),Area: A42_canephora_Indonesia_C.raw (F126),Area: A64_canephora_Rwanda_A.raw (F190),Area: A64_canephora_Rwanda_B.raw (F191),Area: A64_canephora_Rwanda_C.raw (F192),Area: A69_canephora_India_A.raw (F205),Area: A69_canephora_India_B.raw (F206),Area: A69_canephora_India_C.raw (F207),Area: A76_canephora_India_A.raw (F226),Area: A76_canephora_India_B.raw (F227),Area: A76_canephora_India_C.raw (F228),Area: A77_canephora_Uganda__C.raw (F229),Area: A77_canephora_Uganda_A.raw (F230),Area: A77_canephora_Uganda_B.raw (F231),Area: A78_canephora_Indonesia_A.raw (F232),Area: A78_canephora_Indonesia_B.raw (F233),Area: A78_canephora_Indonesia_C.raw (F234),Area: Blank_process.raw (F331),Area: Blank_process_2.raw (F332),Area: QC_1.raw (F334),Area: QC_2.raw (F335),Area: QC_3.raw (F336),Area: QC_4.raw (F337),Area: QC_5.raw (F338),Area: QC_6.raw (F339),Area: QC_7.raw (F340),Area: QC_8.raw (F341),Area: QC_9.raw (F342),Area: QC1_01.raw (F343),Area: QC1_02.raw (F344),Area: QC1_03.raw (F345),Area: QC1_04.raw (F346),Area: QC1_05.raw (F347),Area: QC2_01.raw (F348),Area: QC2_02.raw (F349),Area: QC2_03.raw (F350),Area: QC2_04.raw (F351),Area: QC2_05.raw (F352),Area: QC3_01.raw (F353),Area: QC3_02.raw (F354),Area: QC3_03.raw (F355),Area: QC3_04.raw (F356),Area: QC4_01.raw (F357),Area: QC4_02.raw (F358),Area: QC4_03.raw (F359),Area: QC4_04.raw (F360),Area: QC5_01.raw (F361),Area: QC5_02.raw (F362),Area: QC5_03.raw (F363),Area: QC5_04.raw (F364),Area: QC6_01.raw (F365),Area: QC6_02.raw (F366),Area: QC6_03.raw (F367),Area: QC6_04.raw (F368),Area: QC7_01.raw (F369),Area: QC7_02.raw (F370),Area: QC7_03.raw (F371),Area: QC7_04.raw (F372),Area: QC8_01.raw (F373),Area: QC8_02.raw (F374),Area: QC8_03.raw (F375),Area: QC8_04.raw (F376),Area: QC9_01.raw (F377),Area: QC9_02.raw (F378),Area: QC9_03.raw (F379),Area: QC9_04.raw (F380),Area: System_Blank_01.raw (F381),Area: System_Blank_02.raw (F382),Area: A56_stenophylla_SierraLeone_A.raw (F166),Area: A56_stenophylla_SierraLeone_B.raw (F167),Area: A56_stenophylla_SierraLeone_C.raw (F168),Area: A57_stenophylla_SierraLeone_A.raw (F169),Area: A57_stenophylla_SierraLeone_B.raw (F170),Area: A57_stenophylla_SierraLeone_C.raw (F171),Area: A58_stenophylla_SierraLeone_A.raw (F172),Area: A58_stenophylla_SierraLeone_B.raw (F173),Area: A58_stenophylla_SierraLeone_C.raw (F174),Area: A59_stenophylla_SierraLeone_A.raw (F175),Area: A59_stenophylla_SierraLeone_B.raw (F176),Area: A59_stenophylla_SierraLeone_C.raw (F177),Area: A60_stenophylla_SierraLeone_A.raw (F178),Area: A60_stenophylla_SierraLeone_B.raw (F179),Area: A60_stenophylla_SierraLeone_C.raw (F180),Area: A61_stenophylla_SierraLeone_A.raw (F181),Area: A61_stenophylla_SierraLeone_B.raw (F182),Area: A61_stenophylla_SierraLeone_C.raw (F183),Area: A62_stenophylla_SierraLeone_A.raw (F184),Area: A62_stenophylla_SierraLeone_B.raw (F185),Area: A62_stenophylla_SierraLeone_C.raw (F186),Group Area: arabica,Group Area: canephora,Group Area: stenophylla,Group CV [%]: arabica,Group CV [%]: canephora,Group CV [%]: stenophylla,Ratio: (canephora) / (arabica),Ratio: (stenophylla) / (arabica),Log2 Fold Change: (canephora) / (arabica),Log2 Fold Change: (stenophylla) / (arabica),P-value: (canephora) / (arabica),P-value: (stenophylla) / (arabica),Adj. P-value: (canephora) / (arabica),Adj. P-value: (stenophylla) / (arabica),comp_id
count,3003,20,2822,3003,1.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003.0,3003
unique,1,20,2351,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003
top,False,Caffeine,C11 H10 O3,Full match,,,,,,,,DDA for preferred ion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comp0
freq,3003,1,13,2697,,,,,,,,2492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
mean,,,,,30.19,467.57909222444226,25.771607725607723,37592104.95799052,46.22977022977023,19.87978687978688,11.837162837162838,,7405333.21478215,6394693.652929367,7515731.404062738,15015702.510159925,15232643.793034503,12419366.965864044,14482704.77032001,12654408.157452479,14335129.028983071,9718739.662195746,14516858.237178704,16883383.355080634,12827806.244814742,15359396.438804362,14131478.37096446,9668959.135304043,7546614.2586691305,8656703.011733495,8480371.36849011,9314276.589970568,9367108.820431056,7094705.362411499,7670438.1434612395,8585113.312773874,8755588.865530835,8759342.693022646,8003213.155859522,8618778.72344196,8174719.849773699,7772954.270066303,7683464.9595617335,7608610.224986306,7963127.890284275,18020153.170706384,18377939.888504606,16131410.814609824,19951443.236191582,20418475.89356415,15811105.185888186,18191832.083437793,17056672.224024635,17813663.587332286,12286223.254669506,10641842.89430948,11589220.317705724,11233179.125003561,9162165.654898081,13362587.350298373,8971345.779284043,10299362.82417652,11969158.453557406,10004513.197223138,8459301.496265022,11452271.272635197,10548079.730043083,10008258.710026002,11213660.977878397,53460.78023799177,63610.52499148359,10251418.687443433,10213816.173210857,10165818.757883096,10445878.759772185,9950367.903227376,9919294.182564097,10729381.56146313,10185561.079681458,10887636.118064491,9673892.644191623,10694859.468658736,10591574.491656024,11094588.573160008,10491356.991594985,9416789.930010932,11531431.887629041,10792465.81751443,11175621.759447567,10436264.260658866,9573907.121553706,10139550.497201867,10292023.609416345,10805841.893095601,10092156.131453104,11001695.131318128,9987283.082344612,10956168.414098164,10646495.143726502,11057873.235627297,11086154.916190514,11065940.268779078,10269626.19628393,11088399.213765087,11102357.595450742,10117931.920045596,10396323.933433766,10264522.898655191,11110683.944198072,10436252.807267249,10825076.482451482,10303107.080546455,10978573.037667813,10177335.671101334,10667441.544196723,10385495.14112669,11306824.746310394,9994286.434606059,44321.67593615631,44832.45671278982,10677262.51227871,9329560.314974016,10509646.151840324,8870422.554594057,9096002.873112306,8456225.193590507,8596964.92069765,9049300.49963329,9685616.346008698,9303019.528378176,10630289.708907256,8679131.839378208,8358399.871153678,8686331.127913628,9156990.612279613,9748810.313768048,9520268.858678095,8877746.333643543,8597008.181088857,8123797.363363324,9150350.083274234,9206354.45860802,11767056.40009998,8868930.002002697,79.26311632975708,114.41002520432984,55.560530686224695,3.006355311355311,5.013346986346987,-0.1636863136863137,-0.5542790542790543,0.15955770337429118,0.20246483063621587,0.1794846485524506,0.23547570713538132,
std,,,,,,222.66341129121142,21.329809262247466,183144903.36810836,2.8033159758006936,5.87028342894761,4.42779711417179,,54760758.85340303,47951976.486100405,57787292.661422305,106324455.44454971,110454669.86424123,82845746.79031514,113818893.33974802,96042629.6953808,109829833.32709536,73468630.75581425,104922769.54933035,127417494.17664333,94852255.83676706,109732528.30374251,103865959.66574085,75995707.4769151,57923445.87618829,68474756.01257944,61347262.43199508,69655809.7185488,68242415.45753084,58238520.53805515,55381869.38283225,64366290.82302126,67068121.99791433,64807867.357461214,56300465.35744495,66457353.25257134,62465485.27513169,61413928.17644126,60681740.63511666,59137295.83101959,62895160.061663285,137197490.13302717,137958917.1193889,127419193.2414923,153556625.74294978,145522504.72458613,120698038.09113644,131394894.49885356,132959001.15410614,123256707.08347033,95556848.83476892,78218493.6542831,84966512.5054256,84785378.22542436,73534434.00177564,94783033.88181083,73702592.22194897,87991856.21756797,88225509.45883279,70266343.94632964,63338232.65695245,86633137.05345118,86047304.49995048,79070237.28424814,91589518.98944876,247546.62762533888,489488.4662536291,78472982.30957553,79996824.5967522,73752907.94986704,75710492.43805066,73674056.97636618,77448711.18033636,76881190.66308469,77790091.97539935,82789338.51516317,75124874.86373027,75786137.84239532,70286341.67361747,77893994.1669685,74982639.33828391,68395303.88700724,85919215.29359916,78552723.31346875,81161253.01431455,74483054.95525631,74672548.58255099,73271602.75836226,71702209.4872195,75631577.58356822,75508581.79776059,76694189.92706986,70697281.87235022,79066705.12558575,78961622.19586787,78494709.08760816,73439200.36352114,73256413.48438847,71937834.40672259,80353560.64721557,73900205.84949042,70757297.96327488,73736935.55651353,73921440.77385728,78080996.27427575,71369815.7669866,78535477.44538906,74305210.08394557,75612233.97310145,71638204.27331665,75779844.59413558,70233496.06685454,79000434.8818958,70246849.14241411,91213.49491967127,95060.63171949847,80683138.52484655,65052188.2148709,72418645.06763563,67231288.44124646,64995379.249145545,65130445.26530456,63101496.58622544,73696293.6941834,75612800.9512953,65301149.24103991,73748352.55382943,68891154.76420869,64318601.92385898,63348864.115575776,62906042.12068888,78167818.06078222,70034850.51892318,65812657.76247792,63532083.88785377,64307656.03714636,70221314.93567947,69633506.89375192,91591109.0702558,66728665.634430245,43.590734964518006,86.0014116114173,51.763086884753676,6.629629035463625,34.49472237531871,2.5804856313182998,2.401954796997567,0.3002870478268903,0.32664986296509235,0.323063761910832,0.35716255573615285,
min,,,,,30.19,126.03193,1.287,750145.596633007,24.0,5.0,2.0,,12782.7870767132,11763.0810625018,10911.9295114312,10845.6180339627,10941.511157802,9890.34102057419,9946.3898303162,13230.0713579518,10382.2373070107,7635.0125491547,10364.0862098889,12668.7071350911,11880.6533342112,11242.0677784881,11563.7619747335,10741.6923015572,10770.2366821869,7700.78877535412,11760.3843117855,10816.9952863307,9832.64594836825,11085.2020461664,10909.1321777406,10231.1212878349,10808.3321054816,10875.0227784597,9952.83404817861,10905.2962207287,11658.9799629659,10577.1028908318,8781.27191900972,10709.9116353852,10313.3826445674,9647.13057241769,10105.1903449492,9502.65527820549,13422.1695555214,12419.4004397421,9607.02386627304,12313.5320295004,10199.642278962,14053.1965426039,11973.9131681294,13279.203992194,11994.5603899756,12673.8979441983,13393.4215494752,13029.971652859,9694.87238866171,9868.4758885314,9716.61647938101,9704.23163811711,12523.0519729423,9568.74357126519,9652.14573262575,12800.9925978889,11098.3744312454,7685.05356170906,7941.81302605921,18639.0936956956,20998.6665058099,20578.5148630872,19814.9227364971,22237.500368127,24982.9728193194,21603.9945489314,14615.5755169386,23941.102244517,19980.7206009972,21146.1922148675,23140.0117871688,20129.9109256428,20514.0432466346,22574.1109838349,24460.8523135896,21346.9758486654,21652.7680391734,9662.15714790085,22845.1035004662,11744.2644595811,25072.4532092545,23664.1351607881,20111.3071784585,21356.4309341461,24463.5673122927,20426.3825343682,23739.9392791262,22136.8568719042,25239.0442090219,13508.4965914919,21920.8001019437,23169.1455490399,26882.1242549654,9545.06994950356,22835.1562016913,20732.6770645542,20027.947879567,23978.8209645433,22747.6384349682,22728.7234134721,21305.3221485687,21905.163272233,22081.5247697844,22579.447824371,20794.009203046,23079.5682365769,7809.17648045642,7614.5022319285,9361.61831672045,11137.6632606392,8226.84485874333,11081.8942071778,7466.2896708039,7910.19895442107,7815.52354830787,7712.30916569393,7700.41625734466,7271.63595260091,8149.5785203496,9668.71050536287,9561.90167357148,11297.3809592973,11555.5257427475,10012.0784699904,7855.85774354533,7718.81095192848,10600.0039594589,9264.82343081484,10335.8069258105,11430.2669713167,11897.1267379823,10224.7903947843,5.92899420948587,4.06886738398479,4.91439570355145,0.002,0.001,-9.26,-10.72,1e-15,1e-15,3.61610268378063e-15,4.27448275862069e-15,
25%,,,,,30.19,324.119625,7.1345,2876559.0576267354,47.0,15.0,8.0,,98771.99060917465,74934.79655953395,89121.42730978955,183622.3260439375,288961.598068496,233218.0721306745,229435.596886657,212437.3053043695,192499.078726502,149847.018617077,191817.074808124,267590.3880092645,206947.2038498845,278418.85774614604,271545.80734846403,119749.91111859301,89642.89268142279,113047.4228018475,74768.3795558298,70569.0100652156,82797.94230065835,63546.6222411871,82946.62795935481,95179.75909358876,98264.5349380424,99567.61845308379,79574.1692769876,73304.32954223485,71065.74795469266,66145.64776459476,86949.8054081542,77335.7048912971,86077.24758409869,89052.94567735944,125424.87516739199,93123.648623492,117899.35654215151,107937.8115310015,96767.3695378726,135705.3367020035,107642.03045573301,175524.295706303,68267.92652563716,77824.04381679784,89451.53695498915,56043.09154035875,56607.80145447565,97702.6404592673,50996.63648979175,50651.21842015125,68864.426601679,59126.2076101497,129090.51269176,64681.0483672477,64571.4425212821,67340.62727043015,62251.796141099796,21554.6859803665,21951.6804204952,279850.95858637,277770.96212857205,292882.24410475,294777.92621560453,293034.2266528075,288643.019100298,313071.68580797804,288430.6369358445,318576.4575132405,292858.72593405,333511.725821756,337488.7209716165,339501.777607623,347916.56889719353,305224.793533773,339073.0423344365,325790.7435903915,328653.616343253,342196.35568369203,294060.15398525447,317041.885855828,326514.79330564046,344924.926139044,294922.55553579447,346303.52715916804,338804.971122961,349754.4647395965,314957.816046884,347998.637757137,356822.11856456497,362405.261081222,316837.916412963,347198.5582706905,367076.35029770003,327230.98677662155,322670.280548432,341113.03107191797,349072.452795793,343940.4306311025,330777.41068063397,341051.48207987053,346685.9355384055,328109.496083435,342153.284181189,342835.3089048415,351830.66885824804,336703.61331540847,21062.51631428015,21092.46319628345,71214.26956487475,52496.446238329096,59771.414894578,46838.105712635705,51182.618846104204,52594.74489043045,58105.7434748575,57392.117708929,55009.229889046546,55205.38128305795,55329.1533671497,48576.5559787952,49395.795654501606,51972.84649459905,53829.32447503005,52648.5015470757,53171.60356264755,48303.2667640007,54463.47905742515,52139.993993225406,44301.4737069604,127917.96498558551,82196.8540797176,52170.79664529505,47.934772333181854,52.05189068396725,24.3525215755413,0.4205,0.314,-1.25,-1.67,1e-15,8.577460963721251e-11,3.61610268378063e-15,3.532337734028225e-10,
50%,,,,,30.19,452.16665,20.486,6210056.92469997,47.0,20.0,12.0,,475717.977112475,387503.561855638,462606.205992786,885607.832076809,1157940.80561424,960187.911974856,1035875.12417768,956863.605736803,965569.4371631,688108.627970382,878300.368237764,1233808.24849872,940319.500326595,1285147.78860729,1175890.12593567,616972.403548827,464079.189532307,519762.632095269,472145.223181219,452709.868823768,465028.536387937,343572.954190692,426629.133285613,523551.689314763,467255.823879195,514619.237741653,456374.215234637,417932.708125777,423249.71384244,384133.003052001,443768.908097685,392442.41543609,451596.040241211,812871.254542744,1126440.04153197,883045.493481486,1113832.44412909,1055278.44114105,849593.747426796,1196037.10771939,885471.685248796,1217077.45133517,559385.301349465,522075.587572043,587431.890837376,432643.371242407,366789.162516137,634662.253570525,418022.205997555,350325.737580234,508634.77469522,449935.644274936,587146.970189278,529722.033069998,451570.809219499,456302.101403535,410612.857658053,28387.7290129378,27266.7666146944,782410.057553276,808601.070554317,853577.829760414,834997.563191137,847012.887839363,846518.385863503,896318.920943487,852241.964814142,888055.799057085,826265.350298016,958911.467984562,1014911.2383721,962282.194203465,995468.633867933,864314.888535226,952338.264929759,917902.036539599,962930.118098598,971360.986596673,841407.921279031,895602.520473505,921698.173408022,1003582.51513557,840232.484694184,978339.924782153,958831.118198331,999664.257211937,920782.095256225,1002326.41133977,1020444.67470915,1041103.33972748,902358.364507519,982129.767402938,1038722.73639132,955948.4594273,915104.883668596,963151.371118731,1004736.69254606,978063.306947155,953711.234069945,962713.778074997,990944.784211462,939005.094683885,941956.352670484,984597.721513673,1024746.96115754,960635.822189768,27886.5880727509,27714.2178739984,505140.308552351,430508.548017452,473413.301351944,366512.621503202,421346.595310356,384835.76852956,436398.419028208,429685.260589796,422910.515804212,473519.939639279,478510.48161738,341244.175408534,368740.069779735,424756.533888847,428227.607982499,441103.568046778,400842.889405549,365870.669279164,389622.954624483,370903.046862109,357437.312388543,549828.509287197,527021.096716618,382649.290032893,72.0272462033672,89.9854635946705,38.6108336342968,1.088,0.741,0.12,-0.43,5.30929906802369e-05,0.00225428214315404,0.000109544059998704,0.00462956949081138,
75%,,,,,30.19,566.1698,47.954,16274563.30251,47.0,25.0,15.0,,2019934.33921749,1764842.285595395,2032238.620519025,3730894.118561345,4296903.14373561,3717177.6876906604,3861327.02290666,3337752.012005605,3625895.5221635196,2660814.96435891,3796813.5010340996,4407165.32285414,3345133.9633302502,4437979.2508867,4039576.886777925,2450201.3254183596,1984207.0791895501,2180267.212452325,2134412.34156956,2338303.373641675,2262957.57196438,1716412.21545569,2050329.2432002001,2381367.71691606,2151143.7431859802,2415005.7792541003,2306585.1941707153,2172083.9817340747,2096266.0592483901,1926872.72769499,1949865.7713513752,1918285.81250048,2023645.4939611251,3775329.7217012253,4520730.196142506,3848867.450489955,4845774.8845614,4923789.081239585,3649882.975222455,4764629.772360375,3763432.820732015,4791454.900026755,2638859.160038,2473426.50770086,2775033.455561065,2280339.9989462197,1858398.09607305,3084865.29230306,2057120.68818706,1944504.715168235,2558528.0613374403,2479609.99787263,2315219.179184645,2458227.554226705,2109781.6410211,2126144.587547105,2063141.97522466,45843.577789679795,44739.6777359399,2589196.61199033,2662997.00189762,2775228.68446801,2776429.92080635,2709604.859000105,2736245.531291715,2925488.8653165996,2739790.4076074,2928212.905615665,2758828.31966001,3126601.142813105,3255307.77704513,3107561.95622692,3114717.016489285,2788638.64865344,3194081.27004419,3030002.405023875,3089099.73852258,3133722.539840835,2743524.540169875,2947445.985950545,3023311.165248325,3203654.55011625,2695988.38499719,3247802.01396216,3007440.0263361046,3176397.978871455,2930450.91675942,3285264.696552455,3376586.43644145,3335636.239816095,2960309.623457255,3339292.498785235,3358553.16839077,3064455.66380821,3006417.81666157,3174870.048280085,3260124.19828393,3116645.868171705,3081476.417559435,3177643.6736431103,3259452.691690795,2982807.6547482098,3154070.1601442304,3185581.8722930048,3325792.8565797,3046156.977136795,43021.11052639465,43397.1665452179,2620059.410111975,2330185.701511305,2678385.4881821303,2166569.534861395,2404806.967359295,2046339.9033028302,2268127.81736598,2215788.94733311,2273877.8142132247,2467341.3964262353,2518052.49223595,1949944.42801741,2000692.00931626,2246665.9946319154,2374060.7385396203,2273692.9931657948,2253248.76966949,2155927.947064085,2271760.174769215,1971343.46351387,2162180.87871859,2380638.49559128,2328550.15770959,2059822.486702965,102.53229939138501,151.18644763597098,64.64762238754655,2.6605,1.136,1.41,0.18,0.133988860639489,0.302877837037193,0.182800550943609,0.411223836662692,
max,,,,,30.19,2108.47024,73.134,4390139257.61637,47.0,30.0,22.0,,1616372851.26116,1236308800.06627,1780776600.61506,3039730240.12702,3418419083.89692,2367394529.92465,3816784178.51587,2861224452.19793,3413275381.74974,2175866703.06855,3308665111.08355,3768838865.35235,2448190623.60773,3438108392.78049,3165720215.20821,2340923247.37637,1538100284.46341,2196856826.51063,1599690210.06788,2183289077.99699,1955647402.37999,1965651970.90143,1553744229.07265,2051417107.93426,1924661759.08626,1756154583.93728,1774620710.85179,1963273881.82928,1846119384.93828,1729797811.55521,1832759843.64168,2006058117.14878,1675023443.51005,3811528242.48385,4302304919.62934,3538722947.75896,4153853136.88377,4390139257.61637,3234517545.70408,3534313991.62262,3833911489.26208,3074194185.20537,2429136310.96641,2072282853.05021,2234927122.15665,1843342307.04767,2082331228.49786,2091528908.8954,2066688585.03094,3018813904.28349,2556078406.01916,1990784253.78261,1931763138.51602,2158342491.56588,2951985604.13501,2074863222.01392,2430960541.58111,10442572.0643606,21932084.6606051,2463899652.41914,2486784015.58953,2156802272.26911,2242807006.45839,2397550657.82779,2412365969.74623,2258448043.74477,2576121364.59661,2499421762.07859,2187688385.54525,2422001863.94486,2018617742.474,2297844527.44397,1957993922.13245,1855023539.96704,2733296953.73083,2075769397.7624,2438217015.48106,2040647785.41781,2402568159.79726,2258932102.43035,2130941721.9429,2030158127.8404,2500016631.67185,2421430740.32805,2025049582.63193,2033930659.73253,2521892851.32047,2397163692.19635,2042779624.07413,2006377021.71404,2160737327.93976,2418472525.16486,2132744752.88482,1931799725.71402,2430230927.56046,2486273687.91176,2125912690.30107,2091798688.78293,2442630058.77408,2057694114.5024,2085857413.63022,1921694216.96987,2143225389.32514,1914222841.91575,2155197590.92314,1962563176.26863,3100148.24251077,3557116.789096,2475285134.6498,1934812002.67917,2053911146.38253,2058309581.71148,1884464899.37279,2115300096.19378,1879727828.3495,2511938968.87413,2283427057.57759,1941503817.79597,2175854694.59581,2194381161.43306,1964643506.66345,1937909595.44486,1800697994.34496,2277338804.13772,2179805483.91302,1947388669.63159,1874581591.35036,2114979717.11151,2078549711.2688,2047637540.00931,2489205232.18515,2077909212.61135,426.934012690877,477.385941334729,410.268369840117,173.864,957.86,7.44,9.9,0.99999405087086,0.999999680358214,0.99999405087086,0.999999680358214,
